raw_phrases,mapped_labels,count
industrial tanks,industrial tank,65
humans,emergency personnel,42
humans,human,39
emergency personnel,emergency personnel,38
emergency personnel,human,34
industrial tanks,thermal hotspots,30
industrial tanks,emergency personnel,28
industrial tanks,human,25
humans,industrial tank,25
humans emergency personnel,industrial tank,23
industrial tanks,ambulances,23
humans emergency personnel,emergency personnel,19
humans,thermal hotspots,19
humans,ambulances,19
tree trunks,tree trunks,18
industrial pipes,industrial tank,17
thermal hotspots,industrial tank,17
emergency personnel,ambulances,17
emergency personnel,industrial tank,15
industrial tanks hotspots,industrial tank,15
fire,fire,15
emergency personnel,thermal hotspots,13
industrial tanks,cones,13
fire,ambulances,13
emergency personnel,fire,13
cones,industrial tank,13
humans,fire,13
tree trunks,industrial tank,13
industrial tanks,tree trunks,13
all instances,ambulances,12
all instances,fire,12
industrial tanks,fire,12
tree trunks,emergency personnel,11
industrial tanks,industrial pipe,11
navigable roads roads,navigable road,11
tree trunks,ambulances,11
humans,tree trunks,10
tree trunks industrial tanks industrial pipes,industrial tank,10
navigable roads roads,ambulances,10
industrial tanks,navigable road,10
all instances,emergency personnel,10
navigable roads roads,industrial tank,10
industrial tanks,firetrucks,10
all instances,human,10
##s ambulances,emergency personnel,10
tree trunks,human,10
thermal hotspots,thermal hotspots,9
emergency personnel,tree trunks,9
fire,human,9
humans emergency personnel,thermal hotspots,9
fire,emergency personnel,9
fire,industrial tank,9
all instances,industrial tank,9
humans emergency personnel,human,8
##s ambulances,industrial tank,8
##s ambulances,thermal hotspots,8
##s ambulances,human,8
thermal hotspots,ambulances,8
navigable roads roads,emergency personnel,8
firetrucks ambulances,industrial tank,7
industrial tanks,smoke plumes,7
thermal hotspots,human,7
tree trunks,thermal hotspots,7
industrial pipes,emergency personnel,7
fences,industrial tank,7
all instances,tree trunks,7
industrial pipes,industrial pipe,7
smoke plumes,industrial tank,7
industrial tanks,fences,7
emergency personnel,navigable road,6
fire,tree trunks,6
emergency personnel,firetrucks,6
industrial pipes,firetrucks,6
firetrucks ambulances,emergency personnel,6
humans,firetrucks,6
firetruckss,industrial tank,6
industrial tanks hotspots,emergency personnel,6
tree trunks,fire,6
navigable roads roads,thermal hotspots,6
buildings,industrial tank,6
thermal hotspots,emergency personnel,6
tree trunks,firetrucks,6
ambulance,industrial tank,6
industrial tanks hotspots,tree trunks industrial tanks industrial pipes,6
industrial tanks hotspots,industrial pipe,6
thermal hotspotss,emergency personnel,5
firetrucks ambulances,firetrucks,5
thermal hotspots,fire,5
thermal hotspots ambulances,emergency personnel,5
humans,navigable road,5
all instances fire,industrial tank,5
thermal hotspotss ambulances,emergency personnel,5
tree trunks,navigable road,5
navigable roads roads,tree trunks,5
navigable roads roads road surfaces,industrial tank,5
all instances,firetrucks,5
fences,ambulances,5
cones,ambulances,5
cones,cones,5
navigable roads roads,human,5
industrial pipes,ambulances,5
fire,thermal hotspots,5
thermal hotspotss ambulances,thermal hotspots,4
humans emergency personnel,ambulances,4
thermal hotspotss ambulances,industrial tank,4
thermal hotspotss ambulances,human,4
industrial tanks,tree trunks industrial tanks industrial pipes,4
tree trunks,industrial pipe,4
tree trunks,cones,4
tree trunks,fences,4
humans,cones,4
tree trunks industrial tanks industrial pipes,emergency personnel,4
tree trunks industrial tanks industrial pipes,industrial pipe,4
firetruckss,navigable road,4
humans emergency personnel,industrial pipe,4
industrial pipes,fire,4
thermal hotspotss,thermal hotspots,4
thermal hotspotss,industrial tank,4
firetruckss,ambulances,4
navigable roads roads,fences,4
navigable roads roads,fire,4
navigable roads roads,firetrucks,4
navigable roads roads,industrial pipe,4
smoke plumes,ambulances,4
smoke plumes,fire,4
thermal hotspots,cones,4
industrial pipes,tree trunks industrial tanks industrial pipes,4
industrial pipes,tree trunks,4
industrial pipes,navigable road,4
thermal hotspots,tree trunks,4
thermal hotspots ambulances,human,4
thermal hotspots ambulances,industrial tank,4
thermal hotspots ambulances,thermal hotspots,4
thermal hotspotss,human,4
humans emergency personnel,tree trunks industrial tanks industrial pipes,4
##s ambulances,ambulances,4
tree trunks industrial tanks industrial pipes,tree trunks industrial tanks industrial pipes,4
cones,firetrucks,4
all instances,navigable road,4
ambulance,navigable road,4
firetr,emergency personnel,4
firetr,human,4
cones,human,4
fences,tree trunks,4
fences,navigable road,4
ambulance,ambulances,4
fences,firetrucks,4
buildings,emergency personnel,4
fences,fences,4
fire,smoke plumes,4
firetrucks ambulances,human,4
firetrucks ambulances,industrial pipe,4
all instances,thermal hotspots,4
fire,navigable road,4
cones,tree trunks,4
cones,thermal hotspots,4
firetrucks ambulances,tree trunks,4
industrial tanks hotspots,firetrucks,3
cones,fences,3
buildings,industrial pipe,3
industrial pipes,cones,3
cones,industrial pipe,3
industrial tanks hotspots,navigable roads roads road surfaces,3
industrial pipes,fences,3
fire,firetrucks,3
industrial pipes,human,3
emergency personnel,industrial pipe,3
smoke plumes,thermal hotspots,3
fences,cones,3
fences,industrial pipe,3
fences,human,3
industrial tanks,damaged buildings,3
industrial tanks hotspots,damaged buildings,3
buildings,firetrucks,3
fences,emergency personnel,3
emergency personnel,fences,3
industrial tanks hotspots,fire,3
humans,industrial pipe,3
humans,fences,3
firetrucks ambulances,damaged buildings,3
all instances,cones,3
all instances,fences,3
all instances,industrial pipe,3
all instances,smoke plumes,3
thermal hotspots,navigable road,3
industrial pipes,damaged buildings,3
humans emergency personnel,fire,3
