raw_phrases,count
industrial tanks,263
humans,192
emergency personnel,162
tree trunks,103
humans emergency personnel,86
all instances,86
fire,83
industrial pipes,75
navigable roads roads,74
thermal hotspots,72
cones,54
fences,46
industrial tanks hotspots,45
firetrucks ambulances,43
##s ambulances,42
smoke plumes,31
ambulance,31
firetruckss,31
tree trunks industrial tanks industrial pipes,30
buildings,29
thermal hotspotss ambulances,21
thermal hotspotss,21
thermal hotspots ambulances,21
all instances fire,15
navigable roads roads road surfaces,15
firetr,11
industrial tanks industrial,5
firetrucks ambulance,5
tree trunks industrial tanks,5
hazard tape,5
all instances of fire,4
industrial tanks thermal hotspots,4
